bfs_nr,gebiet_name,indikator_name,indikator_id,indikator_jahr,indikator_value
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,1990,469
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,1991,472
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,1992,482
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,1993,488
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,1994,503
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,1995,508
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,1996,516
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,1997,516
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,1998,521
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,1999,543
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2000,667
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2001,667
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2002,674
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2003,682
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2004,682
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2005,682
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2006,683
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2007,681
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2008,687
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2009,683
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2010,856
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2011,856
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2012,870
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2013,875
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2014,876
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2015,887
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2016,891
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2017,893
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2018,912
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2019,926
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2020,937
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2021,943
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2022,948
1,Aeugst a.A.,Wohnungsbestand [Whg.],140,2023,947
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,1990,3806
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,1991,3830
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,1992,3845
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,1993,3899
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,1994,3963
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,1995,4084
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,1996,4208
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,1997,4290
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,1998,4326
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,1999,4421
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2000,4473
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2001,4489
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2002,4531
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2003,4561
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2004,4586
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2005,4653
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2006,4746
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2007,4767
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2008,4887
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2009,4951
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2010,5170
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2011,5201
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2012,5286
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2013,5427
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2014,5477
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2015,5527
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2016,5614
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2017,5714
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2018,5791
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2019,5768
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2020,5799
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2021,5849
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2022,5947
2,Affoltern a.A.,Wohnungsbestand [Whg.],140,2023,5976
3,Bonstetten,Wohnungsbestand [Whg.],140,1990,1109
3,Bonstetten,Wohnungsbestand [Whg.],140,1991,1140
3,Bonstetten,Wohnungsbestand [Whg.],140,1992,1167
3,Bonstetten,Wohnungsbestand [Whg.],140,1993,1305
3,Bonstetten,Wohnungsbestand [Whg.],140,1994,1425
3,Bonstetten,Wohnungsbestand [Whg.],140,1995,1524
3,Bonstetten,Wohnungsbestand [Whg.],140,1996,1585
3,Bonstetten,Wohnungsbestand [Whg.],140,1997,1602
3,Bonstetten,Wohnungsbestand [Whg.],140,1998,1642
3,Bonstetten,Wohnungsbestand [Whg.],140,1999,1674
3,Bonstetten,Wohnungsbestand [Whg.],140,2000,1566
3,Bonstetten,Wohnungsbestand [Whg.],140,2001,1609
3,Bonstetten,Wohnungsbestand [Whg.],140,2002,1656
3,Bonstetten,Wohnungsbestand [Whg.],140,2003,1741
3,Bonstetten,Wohnungsbestand [Whg.],140,2004,1803
3,Bonstetten,Wohnungsbestand [Whg.],140,2005,1883
3,Bonstetten,Wohnungsbestand [Whg.],140,2006,1884
3,Bonstetten,Wohnungsbestand [Whg.],140,2007,1976
3,Bonstetten,Wohnungsbestand [Whg.],140,2008,2089
3,Bonstetten,Wohnungsbestand [Whg.],140,2009,2146
3,Bonstetten,Wohnungsbestand [Whg.],140,2010,2289
3,Bonstetten,Wohnungsbestand [Whg.],140,2011,2303
3,Bonstetten,Wohnungsbestand [Whg.],140,2012,2302
3,Bonstetten,Wohnungsbestand [Whg.],140,2013,2320
3,Bonstetten,Wohnungsbestand [Whg.],140,2014,2354
3,Bonstetten,Wohnungsbestand [Whg.],140,2015,2383
3,Bonstetten,Wohnungsbestand [Whg.],140,2016,2428
3,Bonstetten,Wohnungsbestand [Whg.],140,2017,2467
3,Bonstetten,Wohnungsbestand [Whg.],140,2018,2468
3,Bonstetten,Wohnungsbestand [Whg.],140,2019,2475
3,Bonstetten,Wohnungsbestand [Whg.],140,2020,2476
3,Bonstetten,Wohnungsbestand [Whg.],140,2021,2490
3,Bonstetten,Wohnungsbestand [Whg.],140,2022,2506
3,Bonstetten,Wohnungsbestand [Whg.],140,2023,2518
4,Hausen a.A.,Wohnungsbestand [Whg.],140,1990,1009
4,Hausen a.A.,Wohnungsbestand [Whg.],140,1991,1017
4,Hausen a.A.,Wohnungsbestand [Whg.],140,1992,1059
4,Hausen a.A.,Wohnungsbestand [Whg.],140,1993,1113
4,Hausen a.A.,Wohnungsbestand [Whg.],140,1994,1141
4,Hausen a.A.,Wohnungsbestand [Whg.],140,1995,1201
